"megye","telepules","szavazokor","part","szavazat"
1,1,1,"SZOCIÁLDEMOKRATÁK",3
1,1,1,"LMP",123
1,1,1,"FIDESZ-KDNP",395
1,1,1,"JOBBIK",68
1,1,1,"MSZP-EGYÜTT-DK-PM-MLP",244
1,1,2,"SZOCIÁLDEMOKRATÁK",3
1,1,2,"LMP",98
1,1,2,"FIDESZ-KDNP",349
1,1,2,"JOBBIK",44
1,1,2,"MSZP-EGYÜTT-DK-PM-MLP",252
1,1,3,"SZOCIÁLDEMOKRATÁK",7
1,1,3,"LMP",77
1,1,3,"FIDESZ-KDNP",354
1,1,3,"JOBBIK",58
1,1,3,"MSZP-EGYÜTT-DK-PM-MLP",187
1,1,4,"SZOCIÁLDEMOKRATÁK",8
1,1,4,"LMP",89
1,1,4,"FIDESZ-KDNP",364
1,1,4,"JOBBIK",43
1,1,4,"MSZP-EGYÜTT-DK-PM-MLP",206
1,1,5,"SZOCIÁLDEMOKRATÁK",2
1,1,5,"LMP",108
1,1,5,"FIDESZ-KDNP",327
1,1,5,"JOBBIK",49
1,1,5,"MSZP-EGYÜTT-DK-PM-MLP",230
1,1,6,"SZOCIÁLDEMOKRATÁK",3
1,1,6,"LMP",134
1,1,6,"FIDESZ-KDNP",389
1,1,6,"JOBBIK",43
1,1,6,"MSZP-EGYÜTT-DK-PM-MLP",237
1,1,7,"SZOCIÁLDEMOKRATÁK",6
1,1,7,"LMP",77
1,1,7,"FIDESZ-KDNP",338
1,1,7,"JOBBIK",43
1,1,7,"MSZP-EGYÜTT-DK-PM-MLP",202
1,1,8,"SZOCIÁLDEMOKRATÁK",6
1,1,8,"LMP",106
1,1,8,"FIDESZ-KDNP",291
1,1,8,"JOBBIK",42
1,1,8,"MSZP-EGYÜTT-DK-PM-MLP",249
1,1,9,"SZOCIÁLDEMOKRATÁK",5
1,1,9,"LMP",101
1,1,9,"FIDESZ-KDNP",403
1,1,9,"JOBBIK",68
1,1,9,"MSZP-EGYÜTT-DK-PM-MLP",230
1,1,10,"SZOCIÁLDEMOKRATÁK",3
1,1,10,"LMP",86
1,1,10,"FIDESZ-KDNP",329
1,1,10,"JOBBIK",67
1,1,10,"MSZP-EGYÜTT-DK-PM-MLP",273
1,1,11,"SZOCIÁLDEMOKRATÁK",4
1,1,11,"LMP",131
1,1,11,"FIDESZ-KDNP",350
1,1,11,"JOBBIK",48
1,1,11,"MSZP-EGYÜTT-DK-PM-MLP",248
1,1,12,"SZOCIÁLDEMOKRATÁK",7
1,1,12,"LMP",119
1,1,12,"FIDESZ-KDNP",360
1,1,12,"JOBBIK",56
1,1,12,"MSZP-EGYÜTT-DK-PM-MLP",236
1,1,13,"SZOCIÁLDEMOKRATÁK",4
1,1,13,"LMP",115
1,1,13,"FIDESZ-KDNP",422
1,1,13,"JOBBIK",59
1,1,13,"MSZP-EGYÜTT-DK-PM-MLP",220
1,1,14,"SZOCIÁLDEMOKRATÁK",7
1,1,14,"LMP",112
1,1,14,"FIDESZ-KDNP",314
1,1,14,"JOBBIK",50
1,1,14,"MSZP-EGYÜTT-DK-PM-MLP",252
1,1,15,"SZOCIÁLDEMOKRATÁK",3
1,1,15,"LMP",97
1,1,15,"FIDESZ-KDNP",339
1,1,15,"JOBBIK",51
1,1,15,"MSZP-EGYÜTT-DK-PM-MLP",252
1,1,16,"SZOCIÁLDEMOKRATÁK",3
1,1,16,"LMP",119
1,1,16,"FIDESZ-KDNP",350
1,1,16,"JOBBIK",53
1,1,16,"MSZP-EGYÜTT-DK-PM-MLP",211
1,1,17,"SZOCIÁLDEMOKRATÁK",2
1,1,17,"LMP",121
1,1,17,"FIDESZ-KDNP",329
1,1,17,"JOBBIK",54
1,1,17,"MSZP-EGYÜTT-DK-PM-MLP",269
1,1,18,"SZOCIÁLDEMOKRATÁK",0
1,1,18,"LMP",97
1,1,18,"FIDESZ-KDNP",364
1,1,18,"JOBBIK",52
1,1,18,"MSZP-EGYÜTT-DK-PM-MLP",265
1,1,19,"SZOCIÁLDEMOKRATÁK",2
1,1,19,"LMP",106
1,1,19,"FIDESZ-KDNP",330
1,1,19,"JOBBIK",62
1,1,19,"MSZP-EGYÜTT-DK-PM-MLP",204
1,1,20,"SZOCIÁLDEMOKRATÁK",4
1,1,20,"LMP",92
1,1,20,"FIDESZ-KDNP",313
1,1,20,"JOBBIK",31
1,1,20,"MSZP-EGYÜTT-DK-PM-MLP",287
1,2,1,"ÖP",5
1,2,1,"FIDESZ-KDNP",393
1,2,1,"MSZP-EGYÜTT-DK-PM-MLP",277
1,2,1,"JOBBIK",59
1,2,1,"LMP",71
1,2,2,"ÖP",5
1,2,2,"FIDESZ-KDNP",339
1,2,2,"MSZP-EGYÜTT-DK-PM-MLP",261
1,2,2,"JOBBIK",40
1,2,2,"LMP",67
1,2,3,"ÖP",5
1,2,3,"FIDESZ-KDNP",210
1,2,3,"MSZP-EGYÜTT-DK-PM-MLP",203
1,2,3,"JOBBIK",38
1,2,3,"LMP",42
1,2,4,"ÖP",3
1,2,4,"FIDESZ-KDNP",357
1,2,4,"MSZP-EGYÜTT-DK-PM-MLP",273
1,2,4,"JOBBIK",48
1,2,4,"LMP",68
1,2,5,"ÖP",5
1,2,5,"FIDESZ-KDNP",266
1,2,5,"MSZP-EGYÜTT-DK-PM-MLP",392
1,2,5,"JOBBIK",35
1,2,5,"LMP",71
1,2,6,"ÖP",4
1,2,6,"FIDESZ-KDNP",337
1,2,6,"MSZP-EGYÜTT-DK-PM-MLP",275
1,2,6,"JOBBIK",46
1,2,6,"LMP",39
1,2,7,"ÖP",5
1,2,7,"FIDESZ-KDNP",288
1,2,7,"MSZP-EGYÜTT-DK-PM-MLP",327
1,2,7,"JOBBIK",35
1,2,7,"LMP",58
1,2,8,"ÖP",4
1,2,8,"FIDESZ-KDNP",364
1,2,8,"MSZP-EGYÜTT-DK-PM-MLP",295
1,2,8,"JOBBIK",26
1,2,8,"LMP",39
1,2,9,"ÖP",4
1,2,9,"FIDESZ-KDNP",288
1,2,9,"MSZP-EGYÜTT-DK-PM-MLP",292
1,2,9,"JOBBIK",33
1,2,9,"LMP",64
1,2,10,"ÖP",23
1,2,10,"FIDESZ-KDNP",1057
1,2,10,"MSZP-EGYÜTT-DK-PM-MLP",891
1,2,10,"JOBBIK",152
1,2,10,"LMP",234
1,2,11,"ÖP",4
1,2,11,"FIDESZ-KDNP",218
1,2,11,"MSZP-EGYÜTT-DK-PM-MLP",215
1,2,11,"JOBBIK",20
1,2,11,"LMP",50
1,2,12,"ÖP",3
1,2,12,"FIDESZ-KDNP",388
1,2,12,"MSZP-EGYÜTT-DK-PM-MLP",400
1,2,12,"JOBBIK",24
1,2,12,"LMP",76
1,2,13,"ÖP",3
1,2,13,"FIDESZ-KDNP",263
1,2,13,"MSZP-EGYÜTT-DK-PM-MLP",213
1,2,13,"JOBBIK",26
1,2,13,"LMP",49
1,2,14,"ÖP",5
1,2,14,"FIDESZ-KDNP",268
1,2,14,"MSZP-EGYÜTT-DK-PM-MLP",281
1,2,14,"JOBBIK",23
1,2,14,"LMP",55
1,2,15,"ÖP",6
1,2,15,"FIDESZ-KDNP",352
1,2,15,"MSZP-EGYÜTT-DK-PM-MLP",259
1,2,15,"JOBBIK",8
1,2,15,"LMP",59
1,2,16,"ÖP",4
1,2,16,"FIDESZ-KDNP",360
1,2,16,"MSZP-EGYÜTT-DK-PM-MLP",304
1,2,16,"JOBBIK",30
1,2,16,"LMP",47
1,2,17,"ÖP",4
1,2,17,"FIDESZ-KDNP",265
1,2,17,"MSZP-EGYÜTT-DK-PM-MLP",321
1,2,17,"JOBBIK",46
1,2,17,"LMP",61
1,2,18,"ÖP",2
1,2,18,"FIDESZ-KDNP",291
1,2,18,"MSZP-EGYÜTT-DK-PM-MLP",306
1,2,18,"JOBBIK",30
1,2,18,"LMP",49
1,2,19,"ÖP",4
1,2,19,"FIDESZ-KDNP",291
1,2,19,"MSZP-EGYÜTT-DK-PM-MLP",306
1,2,19,"JOBBIK",19
1,2,19,"LMP",51
1,2,20,"ÖP",6
1,2,20,"FIDESZ-KDNP",295
1,2,20,"MSZP-EGYÜTT-DK-PM-MLP",301
1,2,20,"JOBBIK",21
1,2,20,"LMP",51
1,2,21,"ÖP",2
1,2,21,"FIDESZ-KDNP",239
1,2,21,"MSZP-EGYÜTT-DK-PM-MLP",213
1,2,21,"JOBBIK",20
1,2,21,"LMP",40
1,2,22,"ÖP",3
1,2,22,"FIDESZ-KDNP",346
1,2,22,"MSZP-EGYÜTT-DK-PM-MLP",297
1,2,22,"JOBBIK",30
1,2,22,"LMP",36
1,2,23,"ÖP",2
1,2,23,"FIDESZ-KDNP",292
1,2,23,"MSZP-EGYÜTT-DK-PM-MLP",361
1,2,23,"JOBBIK",24
1,2,23,"LMP",62
1,2,24,"ÖP",5
1,2,24,"FIDESZ-KDNP",339
1,2,24,"MSZP-EGYÜTT-DK-PM-MLP",320
1,2,24,"JOBBIK",50
1,2,24,"LMP",50
1,2,25,"ÖP",5
1,2,25,"FIDESZ-KDNP",368
1,2,25,"MSZP-EGYÜTT-DK-PM-MLP",234
1,2,25,"JOBBIK",33
1,2,25,"LMP",57
1,2,26,"ÖP",6
1,2,26,"FIDESZ-KDNP",348
1,2,26,"MSZP-EGYÜTT-DK-PM-MLP",282
1,2,26,"JOBBIK",17
1,2,26,"LMP",56
1,2,27,"ÖP",3
1,2,27,"FIDESZ-KDNP",314
1,2,27,"MSZP-EGYÜTT-DK-PM-MLP",249
1,2,27,"JOBBIK",14
1,2,27,"LMP",45
1,2,28,"ÖP",2
1,2,28,"FIDESZ-KDNP",273
1,2,28,"MSZP-EGYÜTT-DK-PM-MLP",240
1,2,28,"JOBBIK",46
1,2,28,"LMP",38
1,2,29,"ÖP",5
1,2,29,"FIDESZ-KDNP",268
1,2,29,"MSZP-EGYÜTT-DK-PM-MLP",232
1,2,29,"JOBBIK",24
1,2,29,"LMP",34
1,2,30,"ÖP",2
1,2,30,"FIDESZ-KDNP",184
1,2,30,"MSZP-EGYÜTT-DK-PM-MLP",222
1,2,30,"JOBBIK",16
1,2,30,"LMP",51
1,2,31,"ÖP",4
1,2,31,"FIDESZ-KDNP",464
1,2,31,"MSZP-EGYÜTT-DK-PM-MLP",400
1,2,31,"JOBBIK",48
1,2,31,"LMP",62
1,2,32,"ÖP",10
1,2,32,"FIDESZ-KDNP",401
1,2,32,"MSZP-EGYÜTT-DK-PM-MLP",275
1,2,32,"JOBBIK",40
1,2,32,"LMP",64
1,2,33,"ÖP",5
1,2,33,"FIDESZ-KDNP",345
1,2,33,"MSZP-EGYÜTT-DK-PM-MLP",274
1,2,33,"JOBBIK",32
1,2,33,"LMP",60
1,2,34,"ÖP",10
1,2,34,"FIDESZ-KDNP",281
1,2,34,"MSZP-EGYÜTT-DK-PM-MLP",207
1,2,34,"JOBBIK",31
1,2,34,"LMP",44
1,2,35,"ÖP",7
1,2,35,"FIDESZ-KDNP",385
1,2,35,"MSZP-EGYÜTT-DK-PM-MLP",216
1,2,35,"JOBBIK",42
1,2,35,"LMP",64
1,2,36,"ÖP",3
1,2,36,"FIDESZ-KDNP",352
1,2,36,"MSZP-EGYÜTT-DK-PM-MLP",274
1,2,36,"JOBBIK",36
1,2,36,"LMP",60
1,2,37,"ÖP",2
1,2,37,"FIDESZ-KDNP",361
1,2,37,"MSZP-EGYÜTT-DK-PM-MLP",242
1,2,37,"JOBBIK",37
1,2,37,"LMP",79
1,2,38,"ÖP",7
1,2,38,"FIDESZ-KDNP",399
1,2,38,"MSZP-EGYÜTT-DK-PM-MLP",239
1,2,38,"JOBBIK",61
1,2,38,"LMP",72
1,2,39,"ÖP",5
1,2,39,"FIDESZ-KDNP",313
1,2,39,"MSZP-EGYÜTT-DK-PM-MLP",216
1,2,39,"JOBBIK",57
1,2,39,"LMP",57
1,2,40,"ÖP",2
1,2,40,"FIDESZ-KDNP",319
1,2,40,"MSZP-EGYÜTT-DK-PM-MLP",187
1,2,40,"JOBBIK",47
1,2,40,"LMP",56
1,2,41,"ÖP",2
1,2,41,"FIDESZ-KDNP",301
1,2,41,"MSZP-EGYÜTT-DK-PM-MLP",173
1,2,41,"JOBBIK",50
1,2,41,"LMP",64
1,2,42,"ÖP",6
1,2,42,"FIDESZ-KDNP",276
1,2,42,"MSZP-EGYÜTT-DK-PM-MLP",249
1,2,42,"JOBBIK",53
1,2,42,"LMP",47
1,2,43,"ÖP",6
1,2,43,"FIDESZ-KDNP",306
1,2,43,"MSZP-EGYÜTT-DK-PM-MLP",209
1,2,43,"JOBBIK",51
1,2,43,"LMP",67
1,2,44,"ÖP",2
1,2,44,"FIDESZ-KDNP",367
1,2,44,"MSZP-EGYÜTT-DK-PM-MLP",245
1,2,44,"JOBBIK",67
1,2,44,"LMP",72
1,2,45,"ÖP",7
1,2,45,"FIDESZ-KDNP",353
1,2,45,"MSZP-EGYÜTT-DK-PM-MLP",215
1,2,45,"JOBBIK",51
1,2,45,"LMP",51
1,2,46,"ÖP",10
1,2,46,"FIDESZ-KDNP",367
1,2,46,"MSZP-EGYÜTT-DK-PM-MLP",255
1,2,46,"JOBBIK",46
1,2,46,"LMP",61
1,2,47,"ÖP",8
1,2,47,"FIDESZ-KDNP",368
1,2,47,"MSZP-EGYÜTT-DK-PM-MLP",243
1,2,47,"JOBBIK",48
1,2,47,"LMP",44
1,2,48,"ÖP",5
1,2,48,"FIDESZ-KDNP",394
1,2,48,"MSZP-EGYÜTT-DK-PM-MLP",234
1,2,48,"JOBBIK",46
1,2,48,"LMP",48
1,2,49,"ÖP",6
1,2,49,"FIDESZ-KDNP",327
1,2,49,"MSZP-EGYÜTT-DK-PM-MLP",245
1,2,49,"JOBBIK",43
1,2,49,"LMP",69
1,2,50,"SEM",7
1,2,50,"FKGP",2
1,2,50,"4K!",4
1,2,50,"LMP",96
1,2,50,"JOBBIK",75
1,2,50,"KTI",3
1,2,50,"FIDESZ-KDNP",458
1,2,50,"MSZP-EGYÜTT-DK-PM-MLP",380
1,2,51,"SEM",4
1,2,51,"FKGP",4
1,2,51,"4K!",3
1,2,51,"LMP",53
1,2,51,"JOBBIK",37
1,2,51,"KTI",1
1,2,51,"FIDESZ-KDNP",376
1,2,51,"MSZP-EGYÜTT-DK-PM-MLP",206
1,2,52,"SEM",6
1,2,52,"FKGP",3
1,2,52,"4K!",1
1,2,52,"LMP",58
1,2,52,"JOBBIK",37
1,2,52,"KTI",0
1,2,52,"FIDESZ-KDNP",260
1,2,52,"MSZP-EGYÜTT-DK-PM-MLP",189
1,2,53,"SEM",7
1,2,53,"FKGP",1
1,2,53,"4K!",3
1,2,53,"LMP",44
1,2,53,"JOBBIK",37
1,2,53,"KTI",1
1,2,53,"FIDESZ-KDNP",328
1,2,53,"MSZP-EGYÜTT-DK-PM-MLP",201
1,2,54,"SEM",12
1,2,54,"FKGP",2
1,2,54,"4K!",3
1,2,54,"LMP",94
1,2,54,"JOBBIK",49
1,2,54,"KTI",4
1,2,54,"FIDESZ-KDNP",463
1,2,54,"MSZP-EGYÜTT-DK-PM-MLP",330
1,2,55,"SEM",3
1,2,55,"FKGP",1
1,2,55,"4K!",4
1,2,55,"LMP",89
1,2,55,"JOBBIK",31
1,2,55,"KTI",3
1,2,55,"FIDESZ-KDNP",325
1,2,55,"MSZP-EGYÜTT-DK-PM-MLP",257
1,2,56,"SEM",5
1,2,56,"FKGP",0
1,2,56,"4K!",9
1,2,56,"LMP",53
1,2,56,"JOBBIK",42
1,2,56,"KTI",4
1,2,56,"FIDESZ-KDNP",287
1,2,56,"MSZP-EGYÜTT-DK-PM-MLP",228
1,2,57,"SEM",4
1,2,57,"FKGP",0
1,2,57,"4K!",5
1,2,57,"LMP",59
1,2,57,"JOBBIK",38
1,2,57,"KTI",2
1,2,57,"FIDESZ-KDNP",252
1,2,57,"MSZP-EGYÜTT-DK-PM-MLP",251
1,2,58,"SEM",6
1,2,58,"FKGP",0
1,2,58,"4K!",4
1,2,58,"LMP",63
1,2,58,"JOBBIK",46
1,2,58,"KTI",1
1,2,58,"FIDESZ-KDNP",298
1,2,58,"MSZP-EGYÜTT-DK-PM-MLP",270
1,2,59,"SEM",8
1,2,59,"FKGP",2
1,2,59,"4K!",5
1,2,59,"LMP",56
1,2,59,"JOBBIK",32
1,2,59,"KTI",0
1,2,59,"FIDESZ-KDNP",207
1,2,59,"MSZP-EGYÜTT-DK-PM-MLP",233
1,2,60,"SEM",2
1,2,60,"FKGP",1
1,2,60,"4K!",4
1,2,60,"LMP",76
1,2,60,"JOBBIK",50
1,2,60,"KTI",1
1,2,60,"FIDESZ-KDNP",264
1,2,60,"MSZP-EGYÜTT-DK-PM-MLP",315
1,2,61,"SEM",8
1,2,61,"FKGP",1
1,2,61,"4K!",4
1,2,61,"LMP",98
1,2,61,"JOBBIK",34
1,2,61,"KTI",0
1,2,61,"FIDESZ-KDNP",303
1,2,61,"MSZP-EGYÜTT-DK-PM-MLP",275
1,2,62,"SEM",6
1,2,62,"FKGP",1
1,2,62,"4K!",0
1,2,62,"LMP",54
1,2,62,"JOBBIK",38
1,2,62,"KTI",2
1,2,62,"FIDESZ-KDNP",188
1,2,62,"MSZP-EGYÜTT-DK-PM-MLP",193
1,2,63,"SEM",4
1,2,63,"FKGP",3
1,2,63,"4K!",2
1,2,63,"LMP",74
1,2,63,"JOBBIK",29
1,2,63,"KTI",3
1,2,63,"FIDESZ-KDNP",273
1,2,63,"MSZP-EGYÜTT-DK-PM-MLP",241
1,2,64,"SEM",3
1,2,64,"FKGP",6
1,2,64,"4K!",4
1,2,64,"LMP",72
1,2,64,"JOBBIK",39
1,2,64,"KTI",0
1,2,64,"FIDESZ-KDNP",294
1,2,64,"MSZP-EGYÜTT-DK-PM-MLP",253
1,2,65,"SEM",2
1,2,65,"FKGP",2
1,2,65,"4K!",2
1,2,65,"LMP",84
1,2,65,"JOBBIK",40
1,2,65,"KTI",1
1,2,65,"FIDESZ-KDNP",321
1,2,65,"MSZP-EGYÜTT-DK-PM-MLP",226
1,2,66,"SEM",8
1,2,66,"FKGP",1
1,2,66,"4K!",4
1,2,66,"LMP",83
1,2,66,"JOBBIK",53
1,2,66,"KTI",0
1,2,66,"FIDESZ-KDNP",356
1,2,66,"MSZP-EGYÜTT-DK-PM-MLP",239
1,2,67,"SEM",9
1,2,67,"FKGP",2
1,2,67,"4K!",3
1,2,67,"LMP",52
1,2,67,"JOBBIK",37
1,2,67,"KTI",0
1,2,67,"FIDESZ-KDNP",303
1,2,67,"MSZP-EGYÜTT-DK-PM-MLP",197
1,2,68,"SEM",4
1,2,68,"FKGP",0
1,2,68,"4K!",3
1,2,68,"LMP",54
1,2,68,"JOBBIK",47
1,2,68,"KTI",0
1,2,68,"FIDESZ-KDNP",289
1,2,68,"MSZP-EGYÜTT-DK-PM-MLP",249
1,2,69,"SEM",10
1,2,69,"FKGP",0
1,2,69,"4K!",3
1,2,69,"LMP",70
1,2,69,"JOBBIK",47
1,2,69,"KTI",3
1,2,69,"FIDESZ-KDNP",340
1,2,69,"MSZP-EGYÜTT-DK-PM-MLP",213
1,2,70,"SEM",8
1,2,70,"FKGP",1
1,2,70,"4K!",4
1,2,70,"LMP",76
1,2,70,"JOBBIK",47
1,2,70,"KTI",4
1,2,70,"FIDESZ-KDNP",288
1,2,70,"MSZP-EGYÜTT-DK-PM-MLP",217
1,2,71,"SEM",8
1,2,71,"FKGP",4
1,2,71,"4K!",5
1,2,71,"LMP",51
1,2,71,"JOBBIK",47
1,2,71,"KTI",3
1,2,71,"FIDESZ-KDNP",304
1,2,71,"MSZP-EGYÜTT-DK-PM-MLP",278
1,2,72,"SEM",10
1,2,72,"FKGP",1
1,2,72,"4K!",4
1,2,72,"LMP",73
1,2,72,"JOBBIK",60
1,2,72,"KTI",3
1,2,72,"FIDESZ-KDNP",335
1,2,72,"MSZP-EGYÜTT-DK-PM-MLP",270
1,2,73,"SEM",5
1,2,73,"FKGP",2
1,2,73,"4K!",5
1,2,73,"LMP",89
1,2,73,"JOBBIK",38
1,2,73,"KTI",2
1,2,73,"FIDESZ-KDNP",354
1,2,73,"MSZP-EGYÜTT-DK-PM-MLP",282
1,3,1,"ÖP",6
1,3,1,"FIDESZ-KDNP",279
1,3,1,"MSZP-EGYÜTT-DK-PM-MLP",243
1,3,1,"JOBBIK",44
1,3,1,"LMP",61
1,3,2,"ÖP",10
1,3,2,"FIDESZ-KDNP",240
1,3,2,"MSZP-EGYÜTT-DK-PM-MLP",238
1,3,2,"JOBBIK",41
1,3,2,"LMP",46
1,3,3,"ÖP",8
1,3,3,"FIDESZ-KDNP",230
1,3,3,"MSZP-EGYÜTT-DK-PM-MLP",275
1,3,3,"JOBBIK",45
1,3,3,"LMP",60
1,3,4,"ÖP",7
1,3,4,"FIDESZ-KDNP",267
1,3,4,"MSZP-EGYÜTT-DK-PM-MLP",206
1,3,4,"JOBBIK",74
1,3,4,"LMP",71
1,3,5,"ÖP",8
1,3,5,"FIDESZ-KDNP",223
1,3,5,"MSZP-EGYÜTT-DK-PM-MLP",198
1,3,5,"JOBBIK",61
1,3,5,"LMP",65
1,3,6,"ÖP",3
1,3,6,"FIDESZ-KDNP",317
1,3,6,"MSZP-EGYÜTT-DK-PM-MLP",220
1,3,6,"JOBBIK",55
1,3,6,"LMP",87
1,3,7,"ÖP",6
1,3,7,"FIDESZ-KDNP",253
1,3,7,"MSZP-EGYÜTT-DK-PM-MLP",267
1,3,7,"JOBBIK",75
1,3,7,"LMP",42
1,3,8,"ÖP",5
1,3,8,"FIDESZ-KDNP",196
1,3,8,"MSZP-EGYÜTT-DK-PM-MLP",214
1,3,8,"JOBBIK",54
1,3,8,"LMP",63
1,3,9,"ÖP",5
1,3,9,"FIDESZ-KDNP",246
1,3,9,"MSZP-EGYÜTT-DK-PM-MLP",253
1,3,9,"JOBBIK",48
1,3,9,"LMP",48
1,3,10,"ÖP",8
1,3,10,"FIDESZ-KDNP",303
1,3,10,"MSZP-EGYÜTT-DK-PM-MLP",258
1,3,10,"JOBBIK",35
1,3,10,"LMP",61
1,3,11,"ÖP",6
1,3,11,"FIDESZ-KDNP",299
1,3,11,"MSZP-EGYÜTT-DK-PM-MLP",291
1,3,11,"JOBBIK",57
1,3,11,"LMP",72
1,3,12,"ÖP",4
1,3,12,"FIDESZ-KDNP",396
1,3,12,"MSZP-EGYÜTT-DK-PM-MLP",259
1,3,12,"JOBBIK",45
1,3,12,"LMP",55
1,3,13,"ÖP",3
1,3,13,"FIDESZ-KDNP",311
1,3,13,"MSZP-EGYÜTT-DK-PM-MLP",309
1,3,13,"JOBBIK",43
1,3,13,"LMP",64
1,3,14,"ÖP",5
1,3,14,"FIDESZ-KDNP",285
1,3,14,"MSZP-EGYÜTT-DK-PM-MLP",281
1,3,14,"JOBBIK",40
1,3,14,"LMP",73
1,3,15,"ÖP",8
1,3,15,"FIDESZ-KDNP",271
1,3,15,"MSZP-EGYÜTT-DK-PM-MLP",235
1,3,15,"JOBBIK",44
1,3,15,"LMP",47
1,3,16,"ÖP",9
1,3,16,"FIDESZ-KDNP",299
1,3,16,"MSZP-EGYÜTT-DK-PM-MLP",234
1,3,16,"JOBBIK",44
1,3,16,"LMP",46
1,3,17,"ÖP",1
1,3,17,"FIDESZ-KDNP",298
1,3,17,"MSZP-EGYÜTT-DK-PM-MLP",260
1,3,17,"JOBBIK",52
1,3,17,"LMP",50
1,3,18,"ÖP",13
1,3,18,"FIDESZ-KDNP",326
1,3,18,"MSZP-EGYÜTT-DK-PM-MLP",246
1,3,18,"JOBBIK",65
1,3,18,"LMP",51
1,3,19,"ÖP",6
1,3,19,"FIDESZ-KDNP",335
1,3,19,"MSZP-EGYÜTT-DK-PM-MLP",257
1,3,19,"JOBBIK",62
1,3,19,"LMP",83
1,3,20,"ÖP",11
1,3,20,"FIDESZ-KDNP",312
1,3,20,"MSZP-EGYÜTT-DK-PM-MLP",221
1,3,20,"JOBBIK",89
1,3,20,"LMP",58
1,3,21,"ÖP",5
1,3,21,"FIDESZ-KDNP",263
1,3,21,"MSZP-EGYÜTT-DK-PM-MLP",176
1,3,21,"JOBBIK",53
1,3,21,"LMP",48
1,3,22,"ÖP",8
1,3,22,"FIDESZ-KDNP",297
1,3,22,"MSZP-EGYÜTT-DK-PM-MLP",197
1,3,22,"JOBBIK",58
1,3,22,"LMP",39
1,3,23,"ÖP",5
1,3,23,"FIDESZ-KDNP",262
1,3,23,"MSZP-EGYÜTT-DK-PM-MLP",248
1,3,23,"JOBBIK",35
1,3,23,"LMP",73
1,3,24,"ÖP",6
1,3,24,"FIDESZ-KDNP",258
1,3,24,"MSZP-EGYÜTT-DK-PM-MLP",226
1,3,24,"JOBBIK",64
1,3,24,"LMP",65
1,3,25,"ÖP",4
1,3,25,"FIDESZ-KDNP",214
1,3,25,"MSZP-EGYÜTT-DK-PM-MLP",208
1,3,25,"JOBBIK",73
1,3,25,"LMP",38
1,3,26,"ÖP",3
1,3,26,"FIDESZ-KDNP",256
1,3,26,"MSZP-EGYÜTT-DK-PM-MLP",214
1,3,26,"JOBBIK",40
1,3,26,"LMP",67
1,3,27,"ÖP",5
1,3,27,"FIDESZ-KDNP",284
1,3,27,"MSZP-EGYÜTT-DK-PM-MLP",244
1,3,27,"JOBBIK",52
1,3,27,"LMP",45
1,3,28,"ÖP",6
1,3,28,"FIDESZ-KDNP",271
1,3,28,"MSZP-EGYÜTT-DK-PM-MLP",192
1,3,28,"JOBBIK",80
1,3,28,"LMP",47
1,3,29,"ÖP",8
1,3,29,"FIDESZ-KDNP",334
1,3,29,"MSZP-EGYÜTT-DK-PM-MLP",195
1,3,29,"JOBBIK",62
1,3,29,"LMP",40
1,3,30,"ÖP",4
1,3,30,"FIDESZ-KDNP",263
1,3,30,"MSZP-EGYÜTT-DK-PM-MLP",245
1,3,30,"JOBBIK",74
1,3,30,"LMP",42
1,3,31,"MSZP-EGYÜTT-DK-PM-MLP",206
1,3,31,"SZOCIÁLDEMOKRATÁK",3
1,3,31,"LMP",49
1,3,31,"JOBBIK",75
1,3,31,"FIDESZ-KDNP",207
1,3,31,"EGYÜTT 2014",5
1,3,31,"ÖP",4
1,3,31,"JESZ",2
1,3,31,"A HAZA NEM ELADÓ",2
1,3,31,"ZÖLDEK",8
1,3,32,"MSZP-EGYÜTT-DK-PM-MLP",301
1,3,32,"SZOCIÁLDEMOKRATÁK",4
1,3,32,"LMP",52
1,3,32,"JOBBIK",69
1,3,32,"FIDESZ-KDNP",246
1,3,32,"EGYÜTT 2014",5
1,3,32,"ÖP",0
1,3,32,"JESZ",1
1,3,32,"A HAZA NEM ELADÓ",1
1,3,32,"ZÖLDEK",6
1,3,33,"MSZP-EGYÜTT-DK-PM-MLP",238
1,3,33,"SZOCIÁLDEMOKRATÁK",2
1,3,33,"LMP",40
1,3,33,"JOBBIK",63
1,3,33,"FIDESZ-KDNP",207
1,3,33,"EGYÜTT 2014",3
1,3,33,"ÖP",2
1,3,33,"JESZ",2
1,3,33,"A HAZA NEM ELADÓ",6
1,3,33,"ZÖLDEK",12
1,3,34,"MSZP-EGYÜTT-DK-PM-MLP",249
1,3,34,"SZOCIÁLDEMOKRATÁK",3
1,3,34,"LMP",53
1,3,34,"JOBBIK",74
1,3,34,"FIDESZ-KDNP",181
1,3,34,"EGYÜTT 2014",5
1,3,34,"ÖP",0
1,3,34,"JESZ",1
1,3,34,"A HAZA NEM ELADÓ",5
1,3,34,"ZÖLDEK",10
1,3,35,"MSZP-EGYÜTT-DK-PM-MLP",245
1,3,35,"SZOCIÁLDEMOKRATÁK",2
1,3,35,"LMP",42
1,3,35,"JOBBIK",52
1,3,35,"FIDESZ-KDNP",202
1,3,35,"EGYÜTT 2014",4
1,3,35,"ÖP",0
